id,x,y,Fecha,year,evento,detalles,causa,perjuicio,zona,links_images
20,-71.35727,-40.14546,19/06/2021,2021,accidente vehicular,vuelco,desconocida,vehicular,bandurrias,https://doc-00-9k-mymaps.googleusercontent.com/untrusted/hostedimage/nmppdpc735sf55nj1fsuamdh7g/kr6tfntpdf2sglgmev5ulmcdcs/1671381894000/F0nZFzixlBjr6seVmxGMip76Jw-FgJV4/16116690245165455023/5AKgB-9l7ZPf9BDDqRS3wiZrLeO-R3xyuFjsMTm8Zlz0CeWawuBqYP_o58beGTd5UwROLI3ZjJ69bWwWy9_nAh_LDiisqiqXPT2BfzMVASEX7U4Ibmm26LFXErQHQj53KsH_tTT-9PxbUehYdVixUtFzOlAJflWGZxlgb3zWE9czuNJiUBPgPRAmKffwHdtycDvv5cFw?session=0&fife
21,-71.31299,-40.14753,9/7/2021,2021,colision vehicular,choque vehicular,desconocidas,materiales,ruta 40 - semaforo CPEM 28,https://doc-00-9k-mymaps.googleusercontent.com/untrusted/hostedimage/nmppdpc735sf55nj1fsuamdh7g/pfj7lav8b74tdbogrgn63mcah8/1671381894000/F0nZFzixlBjr6seVmxGMip76Jw-FgJV4/16116690245165455023/5AKgB-9mC8-DQvooS7LdMLTgzY52ppvKR3uOqiZEcK62bnc-fvurCdkpJYHBGF0tjauDiRKn7vxb8zmXLWz02od_TWagH1Hhbw2d_WvLhr4wtTZUfL2kXBJ91fbiTOagIj1QhdDIJhISOtDJvIwfE0fEufOXvWJBurC8uA97FlDlT2KD9yyN0p6rXWUQ0mRZ4RE--qaw?session=0&fife
22,-71.61343,-40.60851,11/7/2021,2021,accidente vehicular,incendio vehiculo,desconocida,materiales,piedra del bellacoÃ‚Â ,https://doc-0o-9k-mymaps.googleusercontent.com/untrusted/hostedimage/nmppdpc735sf55nj1fsuamdh7g/hg9g5mpuvu26dc0n7vojl8v5c4/1671381894000/F0nZFzixlBjr6seVmxGMip76Jw-FgJV4/16116690245165455023/5AKgB-9mtEmJVokCnUJxnBcnWxot9ZWwuDEgy5ZGRO01aJej1I4NHy91zPpGo3_SQ5_Q8zgVMx6BVJJB7vPYKAwNZy2oLVxTLoDwxOSHB977n-0ROtAKgYbR15byuy5i0SY-Ykh5165TAhSSkN1COIs334Jw_BCf2BRCbfd6sC4tGbYDAVq8ZEcd1UjtBRNdwOyGddUE?session=0&fife
23,-71.44202,-40.11608,3/7/2021,2021,accidente vehicular,vuelto,desconocida,materiales,Ruta Provincial N 48,https://doc-0k-9k-mymaps.googleusercontent.com/untrusted/hostedimage/nmppdpc735sf55nj1fsuamdh7g/60tigge7if0cpk2o9uimch9e0o/1671381894000/F0nZFzixlBjr6seVmxGMip76Jw-FgJV4/16116690245165455023/5AKgB-9l9Nt-mlQ8joSPil6etQOSdRE9Rf0b7Ok84IhMSOkvCoHilPTWBRvxTPFBXAmLDTBDM1fvpejv2Y-17pAYYh4Oa09-GXZZ_vLG8mSmRiXUBidJU7e5T0ryROfVbJafloZOMFTrJH3ILLqCf1-dKXAuAOyfbBYLlqx_t4p-gDfVUxQjKmjay5Ue3fK5LclzMDAQ?session=0&fife
24,-71.3111,-40.14728,10/4/2021,2021,atropellamiento de personas,atropello de persona,desconocidas,1 persona fallecida,chacra 4,https://doc-0k-9k-mymaps.googleusercontent.com/untrusted/hostedimage/nmppdpc735sf55nj1fsuamdh7g/2vb6pcgq7btgk7nd62r1f10k54/1671381894000/F0nZFzixlBjr6seVmxGMip76Jw-FgJV4/16116690245165455023/5AKgB-9mDNSTQfFpFudZjHKTnbmRZLwtTU9ebyCsfVC5_Df3KOCDZYpjMRkJTEQgsU9c9yjsMfHAxNFommSOzCtbWx5u995TVtR9qGanBJbnNVdRmJZgmg3JhKEHF3VtCvt7O4azvJYnpr7ba3e3yfKuLuvEpcfTbrzu5o_KCMxDmsKZUgohc1aTpEarRiCmM80ekl-E?session=0&fife
25,-71.26025,-40.12827,14/06/2021,2021,colision vehicular,choque vehiculos,desconocida,materiales,ruta 40- corralÃƒÂ³n austral,https://doc-0s-9k-mymaps.googleusercontent.com/untrusted/hostedimage/nmppdpc735sf55nj1fsuamdh7g/9epd78skpe16olp4mshh1mv6b4/1671381894000/F0nZFzixlBjr6seVmxGMip76Jw-FgJV4/16116690245165455023/5AKgB-9mKGKpNSmYcNKhfxnTXv5EqD9cK8HNGY1QFvQUS9_SFztKBLkGgOEL-sIg3l4uQAj9XrlhwtLNQkOMxZYsD8j2709jhL1lR6sHjR-KTi0kmT2L54dp0C14BvqahbGkVvSWnGobM0c3GSHjenTizTZWrwYAmpObDTl1LJ7LXueL0BfOatkq-lruoHskb3xSouOo?session=0&fife
26,-71.34786,-40.15709,8/4/2021,2021,colision vehicular,choque vehiculo moto,desconocida,materiales,centro,https://doc-08-9k-mymaps.googleusercontent.com/untrusted/hostedimage/nmppdpc735sf55nj1fsuamdh7g/rqmvhf38jrcghqsiqpde1opuvg/1671381894000/F0nZFzixlBjr6seVmxGMip76Jw-FgJV4/16116690245165455023/5AKgB-9ndMrDKO9aL7qlU2PWpqHLm5yeorkKcXGleBv4EnH7pzuSOCIUsGJ1C_bx6hxMEsTOrBoxDuuf4MP0jIxDaaJWt6IXfCcYQn3CFzSVbwP7TQlEzXYYYnPFrIheuZLku8LM_BHO4RalI4CYEVGsKbkc-eGiZOMMPBQdjXcK5BNUA6do8lDETp7ikp63NfjnlgYNY?session=0&fife
27,-71.34317,-40.1544,26/03/2021,2021,colision vehicular,choque moto vehiculo,desconocida,materiales,centro,https://doc-0o-9k-mymaps.googleusercontent.com/untrusted/hostedimage/nmppdpc735sf55nj1fsuamdh7g/if9msgvq0ik7nm40jbqinifb4o/1671381894000/F0nZFzixlBjr6seVmxGMip76Jw-FgJV4/16116690245165455023/5AKgB-9lfAZ2Wz3l8TsLebUtOILPW6UncNJY-ZHYvtnCcGa6q_QKfeTd9FKIiWhPjoMcPfzWAKwq6PclZCv9cxshl6CekrrZQ4IuQIq-DC5MuH0BE_f9Qd9CjIrHp5MYncHtIYaKBlR6iLjm0lQR8t9pR9ruH_XZpKnP6e-0ntBg0gv4QgUyr_-oUz7Cy_hWY_8FvwjI?session=0&fife
28,-71.44798,-40.35587,1/4/2021,2021,atropellamiento animales,choque vehiculo caballo,animal suelto,materiales,villa lago hermoso,https://doc-14-9k-mymaps.googleusercontent.com/untrusted/hostedimage/nmppdpc735sf55nj1fsuamdh7g/k38o7dkigbrakdv0cdev1kvjho/1671381894000/F0nZFzixlBjr6seVmxGMip76Jw-FgJV4/16116690245165455023/5AKgB-9lASYDHWbQw05aBcdUSoJslAMtxOkQ7EsRxyOy6wJQoTgSOWxGdoQY7P2i3CRflCWIrR6OKk_ZgvEw8fGU7rKVXjsTZpRG1JLrE-1gStw62HxFnJ5uEJr-T9jqp_y5TIFtdZRsVIdu4Tw45fa-aJdkCcGSJ_vGLUd9jEX4akhqTPZa9dA4buv2fH1sIRYLJdXr3?session=0&fife
29,-71.39562,-40.17596,20/07/2020,2020,atropellamiento de personas,accidente auto-bicicleta,desconocida,materiales,ruta 40Ã‚Â  paraje pil pil,https://doc-0o-9k-mymaps.googleusercontent.com/untrusted/hostedimage/nmppdpc735sf55nj1fsuamdh7g/kss02mhinvbhvqlq2q8k6topt0/1671381894000/F0nZFzixlBjr6seVmxGMip76Jw-FgJV4/16116690245165455023/5AKgB-9kbo8jhZIAI3OrFBXpTjokNtyCAKR4YDqufrdoCXFPyju03iEi4xI7_QsSfS-Mc6ZJrhXnWiSOFJDFjCyggiV4d4jwVzR_U51hawrADzEbCdtO6YtTBdNiAlEPJoCgb1snrQyjzoXgr_9vAxWoe_EfuG1qcoFVJzBhHKX3NLeSl8ICyaTbLCNids8FMBLcn97c?session=0&fife
30,-71.34979,-40.16635,12/5/2021,2021,accidente personas,caida de bicicleta,desconocidas,persona lesionada,mirador arrayanes,https://doc-0g-9k-mymaps.googleusercontent.com/untrusted/hostedimage/nmppdpc735sf55nj1fsuamdh7g/pms029ckn98i6g5f7l7qrbmm3k/1671381894000/F0nZFzixlBjr6seVmxGMip76Jw-FgJV4/16116690245165455023/5AKgB-9nOuIL47DvpnI-mhr1N2IZ6LXXTzIYx34BAiTjqRw9LGoLtzhZIW3TlItq84IwKS3AZ3ryB1NoPCjH_nLzJKqZi3hpFXN1tXrhheNCLP3kS3jeaLqF8iI0o1LdwaX84xFeo3SnOh-SVgkbb57tgA75gDpPMw0AIhCp0PGAb7eayLTL8WXqc1PuZNhZeRKVqe1U?session=0&fife
31,-71.35199,-40.16085,16/09/2021,2021,colision vehicular,choque auto motocicleta,desconocida,materiales,centro,https://doc-0g-9k-mymaps.googleusercontent.com/untrusted/hostedimage/nmppdpc735sf55nj1fsuamdh7g/266seeq0902pihfhu6r7he8no4/1671381894000/F0nZFzixlBjr6seVmxGMip76Jw-FgJV4/16116690245165455023/5AKgB-9ltsN5252uJEEpYP2eBliDnf2B1GK0gh5YHXgq6DJTOHvwqplueedUoN8adKHA8OLUSIXSxNsOUWcIvI9Mr0Fs59guPbQAm1sdgpYmvf_jI8X9USY_llyUCFaVReDL1U-s8u49b3tnkIxXVuWMY2HtyXbhgPfT4j5B9MAcMjobnrR4PrSOXVUoLZP3qm0DkHxo?session=0&fife
32,-71.34447,-40.15483,15/07/2020,2020,colision vehicular,choque moto automo,desconocida,materiales,centro,https://doc-0o-9k-mymaps.googleusercontent.com/untrusted/hostedimage/nmppdpc735sf55nj1fsuamdh7g/gmjg1srrmgieuo5esu58lue8eg/1671381894000/F0nZFzixlBjr6seVmxGMip76Jw-FgJV4/16116690245165455023/5AKgB-9kNuy7tDhSZBGah53QCwIU_HnJTjMQVMJ8HVLOLj76SI6fbVpQkPH-XS3KlCSIDTYi5TXoHOvzY9ec8TSNo2tvBrSWfyaRjbIlGhX_CZnOn2MCBEALhMmOpJvb5cnnYnLpdl2rENRMFw6XmGBuM0t4Pr9u-N_knc-6QRejs3aCNzxvokLbrMy1Y7giBeaaJ39g?session=0&fife
33,-71.39954,-40.1815,19/01/2021,2021,accidente vehicular,caida,desbarranco,materiales y personaÃ‚Â ,camino quila quina,https://doc-00-9k-mymaps.googleusercontent.com/untrusted/hostedimage/nmppdpc735sf55nj1fsuamdh7g/e1vqs9bq1mdrvhf3hjajjfbags/1671381894000/F0nZFzixlBjr6seVmxGMip76Jw-FgJV4/16116690245165455023/5AKgB-9kN3IW7ru3OFaX0b-AAdAUO-n83LbEF9Bwi5H9Logt1xKaG2Sx3_U2rNE7zLQZnFc26x3q3stBWg_m1IoUy8JxzgaYtzmMBDgq8B3j6VdnQZTDyH4oS-aQrCzNacAjTfatUyfPkSNi00rS9gyP59S5XJW4EEfhAVA47ZLTDmQ7j105F1NDAoRmZGqEZAoUf2Zs?session=0&fife
